id,pred_K562,label_K562,RRA_K562,ReportedRRA,pred_A549,label_A549,RRA_A549
chr16_87867812-87868312@K562,0.8749035751688207,1,8.117782935240122,-1.0,0.7691432024334669,0,0.3322482805787667
chr14_35291050-35291550@K562,0.9306984915398782,1,7.289290434275663,-1.0,0.9181228343645582,0,0.1971784023643519
chr11_78417245-78417745@K562,0.8923236912922442,1,7.271021608008922,3.201321737341793,0.1148584188872328,0,0.03854568248991506
chr16_87868963-87869463@K562,0.980346652565382,1,7.023058829181049,3.531401619503753,0.3239169646802098,0,0.3529693033792684
chr4_57111186-57111686@A549,0.7233064244680095,1,6.76654697795928,-1.0,0.2929865487996664,0,0.009079810772537547
chr19_13151457-13151957@K562,0.9036446331838656,1,6.6845544817754154,4.772679017451155,0.0884117233383661,0,1.6078836661839901
chr15_92806677-92807177@K562,0.832325328868052,1,6.393736899488053,-1.0,0.4236345161792641,0,1.1197467803954269
chr6_11171568-11172068@A549,0.7931196822550556,1,6.371039199781783,-1.0,0.1809016903687595,0,0.8047370416579385
chr1_39136623-39137123@A549,0.0959431753970614,1,6.061545323799241,-1.0,0.5049534325892641,0,0.1836658836256962
chr17_27348940-27349440@A549,0.8918353895631224,1,5.973752818522226,-1.0,0.9289690171712492,1,2.4089465288722156
chr16_87857084-87857584@K562,0.736000546686231,1,5.872247484167027,-1.0,0.1164532934519634,0,0.8633428381261211
chr19_45885948-45886448@K562,0.9508728386270614,1,5.500587874327724,4.263149518836673,0.975284839409527,0,0.003654722523372565
chr19_13117577-13118077@K562,0.9003532299546358,1,5.465466243994884,3.1694562385312706,0.6783506450316676,0,0.13560166028375642
chr19_16542307-16542807@K562,0.993905306247837,1,5.182586693178535,4.162506258384823,0.1841839232671946,0,1.2379895182442286
chr19_13118329-13118829@K562,0.9255326790892572,1,5.093659569959329,3.1694562385312706,0.0701719375104634,0,1.255487968605697
chr10_3875371-3875871@A549,0.1718731452891487,1,5.043260252517583,-1.0,0.464608353607249,0,0.16598007492502262
chr13_110395534-110396034@A549,0.718753079845116,1,5.04131669027325,-1.0,0.273160841049088,0,0.6247205636635252
chr6_16277910-16278410@K562,0.2093434139234685,1,5.032709494445443,-1.0,0.2403371595937869,0,0.00611868047177443
