id	chr	start	end	cell_line	RRA	label	neg_log10_score	neg_score_raw	source	score
EH38E3392707	chr2	197414404	197414904	K562	1.160452822971707	0			cre4	1.580830216407776
EH38E3392708	chr2	197422847	197423347	K562	1.160452822971707	0			cre4	2.0582613945007324
EH38E3392709	chr2	197423238	197423738	K562	1.160452822971707	0			cre4	0.6818170547485352
EH38E3392710	chr2	197423564	197424064	K562	1.160452822971707	0			cre4	0.6423518657684326
EH38E3392713	chr2	197425454	197425954	K562	1.5031533460631468	0			cre4	1.472234845161438
EH38E3392715	chr2	197428639	197429139	K562	1.160452822971707	0			cre4	0.0933805257081985
EH38E3392718	chr2	197430588	197431088	K562	1.160452822971707	0			cre4	1.856556296348572
EH38E2064009	chr2	197432537	197433037	K562	1.160452822971707	0			cre4	0.3734151721000671
EH38E3392723	chr2	197433519	197434019	K562	1.160452822971707	0			cre4	1.622603178024292
EH38E2064010	chr2	197433729	197434229	K562	1.160452822971707	0			cre4	1.546729564666748
EH38E2064011	chr2	197433977	197434477	K562	1.160452822971707	0			cre4	0.8868013024330139
EH38E2064012	chr2	197434375	197434875	K562	11.49237347475786	1			cre4	1.6685740947723389
EH38E3392724	chr2	197434897	197435397	K562	8.207384216336866	1			cre4	2.921044111251831
EH38E2064014	chr2	197435256	197435756	K562	6.012879179578577	1			cre4	3.1935627460479736
EH38E3392725	chr2	197435633	197436133	K562	1.160452822971707	0			cre4	3.011616945266724
EH38E3392726	chr2	197436015	197436515	K562	1.160452822971707	0			cre4	1.9152520895004272
EH38E3392727	chr2	197440091	197440591	K562	1.160452822971707	0			cre4	1.3635423183441162
EH38E3392728	chr2	197442802	197443302	K562	1.160452822971707	0			cre4	0.4721279740333557
EH38E3392729	chr2	197443772	197444272	K562	1.160452822971707	0			cre4	-0.6547261476516724
EH38E3392733	chr2	197450810	197451310	K562	1.160452822971707	0			cre4	1.3040547370910645
EH38E3392734	chr2	197451669	197452169	K562	1.160452822971707	0			cre4	-0.240682378411293
EH38E3392735	chr2	197452122	197452622	K562	1.160452822971707	0			cre4	0.8756512403488159
EH38E3392736	chr2	197452790	197453290	K562	1.160452822971707	0			cre4	1.7355763912200928
EH38E2064028	chr2	197453152	197453652	K562	3.0655217489695525	1			cre4	2.799626111984253
EH38E3392737	chr2	197453603	197454103	K562	2.2631574792901823	1			cre4	1.85489022731781
