center	signal
1595844	0.5136399865150452
1596044	0.5992900133132935
1596244	0.5136399865150452
1596444	0.25687000155448914
1596644	0.5136399865150452
1596844	0.6848499774932861
1597044	0.5992900133132935
1597244	0.6848499774932861
1597444	0.3424299955368042
1597644	0.5992900133132935
1597844	1.0273699760437012
1598044	0.8560699820518494
1598244	0.17121000587940216
1598444	0.3424299955368042
1598644	0.7705100178718567
1598844	0.8560699820518494
1599044	0.7705100178718567
1599244	0.6848499774932861
1599444	0.5136399865150452
1599644	0.5992900133132935
1599844	0.5992900133132935
1600044	0.3424299955368042
1600244	0.0856499969959259
1600444	0.25687000155448914
1600644	0.4280799925327301
1600844	0.4280799925327301
1601044	0.5136399865150452
1601244	0.3424299955368042
1601444	0.25687000155448914
1601644	0.5136399865150452
1601844	0.5992900133132935
1602044	0.25687000155448914
1602244	0.5136399865150452
1602444	0.5136399865150452
1602644	0.5136399865150452
1602844	0.5136399865150452
1603044	0.3424299955368042
1603244	0.4280799925327301
1603444	0.5136399865150452
1603644	0.4280799925327301
1603844	0.0856499969959259
1604044	0.0
1604244	0.0
1604444	0.3424299955368042
1604644	0.5136399865150452
1604844	0.17121000587940216
1605044	0.0856499969959259
1605244	0.17121000587940216
1605444	0.17121000587940216
1605644	0.3424299955368042
1605844	0.5992900133132935
1606044	0.5992900133132935
1606244	0.3424299955368042
1606444	0.17121000587940216
1606644	0.25687000155448914
1606844	0.17121000587940216
1607044	0.4280799925327301
1607244	0.7705100178718567
1607444	0.7705100178718567
1607644	0.4280799925327301
1607844	0.4280799925327301
1608044	0.5136399865150452
1608244	0.6848499774932861
1608444	0.6848499774932861
1608644	1.4553600549697876
1608844	1.6265699863433838
1609044	1.0273699760437012
1609244	1.1129300594329834
1609444	1.1129300594329834
1609644	0.6848499774932861
1609844	1.7122199535369873
1610044	1.8834400177001953
1610244	1.3697999715805054
1610444	0.9417200088500977
1610644	0.5136399865150452
1610844	0.25687000155448914
1611044	0.5136399865150452
1611244	0.6848499774932861
1611444	0.5992900133132935
1611644	0.5136399865150452
1611844	0.5136399865150452
1612044	0.5136399865150452
1612244	0.5136399865150452
1612444	0.3424299955368042
1612644	0.17121000587940216
1612844	0.5136399865150452
1613044	0.5136399865150452
1613244	0.3424299955368042
1613444	0.17121000587940216
1613644	0.0
1613844	0.17121000587940216
1614044	0.17121000587940216
1614244	0.3424299955368042
1614444	0.3424299955368042
1614644	0.5992900133132935
1614844	0.6848499774932861
1615044	0.5992900133132935
1615244	0.5992900133132935
1615444	0.20645000040531158
1615644	0.17121000587940216
1615844	0.4280799925327301
1616044	0.5136399865150452
1616244	0.5136399865150452
1616444	1.0273699760437012
1616644	0.8560699820518494
1616844	0.5136399865150452
1617044	0.9174699783325195
1617244	1.1468600034713745
1617444	1.2625800371170044
1617644	1.2350399494171143
1617844	1.6098699569702148
1618044	2.359179973602295
1618244	2.215369939804077
1618444	1.2234400510787964
1618644	1.2168200016021729
1618844	0.9751099944114685
1619044	0.8560699820518494
1619244	0.9321699738502502
1619444	0.6475899815559387
1619644	0.5352100133895874
1619844	0.5992900133132935
1620044	0.8560699820518494
1620244	0.8560699820518494
1620444	0.6848499774932861
1620644	0.5992900133132935
1620844	0.17121000587940216
1621044	0.3424299955368042
1621244	0.3424299955368042
1621444	0.3395499885082245
1621644	0.16766999661922455
1621844	0.16708999872207642
1622044	0.0
1622244	0.41196998953819275
1622444	0.4925900101661682
1622644	0.6660000085830688
1622844	0.6660000085830688
1623044	0.25687000155448914
1623244	0.17121000587940216
1623444	0.25687000155448914
1623644	0.5136399865150452
1623844	0.3424299955368042
1624044	0.3371500074863434
1624244	0.5021399855613708
1624444	0.5021399855613708
1624644	0.42072001099586487
1624844	0.647819995880127
1625044	1.2570899724960327
1625244	1.3011499643325806
1625444	1.0585999488830566
1625644	1.0414199829101562
1625844	1.4205399751663208
1626044	1.650589942932129
1626244	1.066390037536621
1626444	0.44348999857902527
1626644	1.2507599592208862
1626844	1.2040400505065918
1627044	1.6016000509262085
