center	signal
197400713	2.3391098976135254
197400913	1.7542799711227417
197401113	2.3870201110839844
197401313	2.3870201110839844
197401513	3.0143799781799316
197401713	2.4114599227905273
197401913	1.2056200504302979
197402113	1.2056200504302979
197402313	1.1934000253677368
197402513	1.1934000253677368
197402713	2.983829975128174
197402913	1.5948899984359741
197403113	1.9494600296020508
197403313	0.5316900014877319
197403513	0.7796900272369385
197403713	1.169600009918213
197403913	1.6708400249481201
197404113	1.2665899991989136
197404313	1.899999976158142
197404513	2.53341007232666
197404713	3.1668200492858887
197404913	1.899999976158142
197405113	1.169450044631958
197405313	1.462049961090088
197405513	1.462049961090088
197405713	1.5948899984359741
197405913	1.899999976158142
197406113	2.53341007232666
197406313	1.899999976158142
197406513	1.899999976158142
197406713	1.899999976158142
197406913	0.5848299860954285
197407113	1.2665899991989136
197407313	1.899999976158142
197407513	1.899999976158142
197407713	1.2665899991989136
197407913	1.899999976158142
197408113	1.899999976158142
197408313	1.899999976158142
197408513	0.6334099769592285
197408713	0.0
197408913	0.0
197409113	0.6334099769592285
197409313	0.6334099769592285
197409513	1.2665899991989136
197409713	3.1668200492858887
197409913	2.415410041809082
197410113	2.53341007232666
197410313	0.6334099769592285
197410513	0.34509000182151794
197410713	0.6334099769592285
197410913	1.899999976158142
197411113	2.53341007232666
197411313	0.0
197411513	0.6334099769592285
197411713	1.899999976158142
197411913	1.899999976158142
197412113	1.899999976158142
197412313	1.899999976158142
197412513	0.6334099769592285
197412713	0.6334099769592285
197412913	0.6334099769592285
197413113	0.6334099769592285
197413313	0.6334099769592285
197413513	1.899999976158142
197413713	2.53341007232666
197413913	1.899999976158142
197414113	1.899999976158142
197414313	3.799999952316284
197414513	2.53341007232666
197414713	3.1668200492858887
197414913	3.799999952316284
197415113	0.6334099769592285
197415313	1.2665899991989136
197415513	0.6334099769592285
197415713	3.1668200492858887
197415913	2.53341007232666
197416113	0.0
197416313	1.0631999969482422
197416513	2.274209976196289
197416713	2.0641400814056396
197416913	1.3802499771118164
197417113	1.6708400249481201
197417313	0.7796900272369385
197417513	0.5848299860954285
197417713	2.53341007232666
197417913	2.53341007232666
197418113	1.2665899991989136
197418313	2.3391098976135254
197418513	2.3391098976135254
197418713	0.690060019493103
197418913	1.169450044631958
197419113	2.53341007232666
197419313	1.2576700448989868
197419513	2.53341007232666
197419713	1.886620044708252
197419913	1.886620044708252
197420113	1.886620044708252
197420313	1.886620044708252
197420513	0.6289499998092651
197420713	0.835349977016449
197420913	1.2530900239944458
197421113	1.2530900239944458
197421313	1.169450044631958
197421513	0.9746400117874146
197421713	1.846750020980835
197421913	1.886620044708252
197422113	0.6334099769592285
197422313	3.1668200492858887
197422513	0.6334099769592285
197422713	0.6334099769592285
197422913	3.799999952316284
197423113	3.1668200492858887
197423313	0.0
197423513	1.5948899984359741
197423713	0.9746400117874146
197423913	1.3802499771118164
197424113	0.34509000182151794
197424313	0.34509000182151794
197424513	2.6582798957824707
197424713	2.9239399433135986
197424913	1.2665899991989136
197425113	0.690060019493103
197425313	0.6334099769592285
197425513	1.2665899991989136
197425713	3.1668200492858887
197425913	1.2665899991989136
197426113	1.035159945487976
197426313	2.6582798957824707
197426513	1.5948899984359741
197426713	3.1668200492858887
197426913	1.2665899991989136
197427113	0.690060019493103
197427313	1.169450044631958
197427513	1.3802499771118164
197427713	0.9201300144195557
197427913	0.6334099769592285
197428113	1.899999976158142
197428313	2.53341007232666
197428513	1.2665899991989136
197428713	0.0
197428913	0.0
197429113	1.2665899991989136
197429313	1.899999976158142
197429513	3.799999952316284
197429713	0.6334099769592285
197429913	3.1105899810791016
197430113	1.1934000253677368
197430313	2.8951900005340576
197430513	1.6869200468063354
197430713	0.5465999841690063
