id	chr	start	end	cell_line	RRA	label	neg_log10_score	neg_score_raw	source	score
EH38E3202911	chr17	1605584	1606084	K562	2.460698026410192	1			cre4	2.091254711151123
EH38E3202929	chr17	1617665	1618165	K562	1.507281506352255	0			cre4	0.7910994291305542
EH38E3202930	chr17	1618302	1618802	K562	0.2921659211792975	0			cre4	-0.3046901822090149
EH38E3202933	chr17	1620448	1620948	K562	0.0395672784140169	0			cre4	0.097075268626213
EH38E3202943	chr17	1625204	1625704	K562	0.9356917933170402	0			cre4	0.8659510612487793
EH38E1840155	chr17	1625503	1626003	K562	0.9356917933170402	0			cre4	0.602922260761261
EH38E3202945	chr17	1626749	1627249	K562	0.6219293059935578	0			cre4	1.729541301727295
EH38E3202946	chr17	1627098	1627598	K562	0.6219293059935578	0			cre4	0.958486258983612
EH38E3202947	chr17	1627768	1628268	K562	0.6240621813692226	0			cre4	1.2908782958984375
EH38E1840159	chr17	1628212	1628712	K562	0.6240621813692226	0			cre4	1.1405919790267944
EH38E1840160	chr17	1628677	1629177	K562	0.6240621813692226	0			cre4	1.3136401176452637
EH38E3202948	chr17	1629040	1629540	K562	0.6240621813692226	0			cre4	1.6027281284332275
EH38E3202949	chr17	1629482	1629982	K562	2.481960094531813	1			cre4	2.270604133605957
EH38E3202950	chr17	1629702	1630202	K562	2.481960094531813	1			cre4	3.3982796669006348
EH38E3202951	chr17	1629927	1630427	K562	2.481960094531813	1			cre4	3.145174264907837
EH38E3202967	chr17	1642896	1643396	K562	0.1507034591652735	0			cre4	0.1843576729297638
EH38E3202968	chr17	1643206	1643706	K562	0.1507034591652735	0			cre4	0.91666179895401
EH38E3202969	chr17	1643612	1644112	K562	0.1507034591652735	0			cre4	1.5228712558746338
EH38E3202972	chr17	1645181	1645681	K562	0.2860644701090652	0			cre4	0.5029503703117371
EH38E3202973	chr17	1645557	1646057	K562	1.18140465125368	0			cre4	1.8345701694488523
EH38E3202980	chr17	1648384	1648884	K562	0.7639668528823641	0			cre4	0.4976265430450439
EH38E3202981	chr17	1648794	1649294	K562	0.7639668528823641	0			cre4	0.8532952666282654
EH38E3202982	chr17	1649092	1649592	K562	0.7639668528823641	0			cre4	-0.5023369789123535
EH38E3202983	chr17	1649323	1649823	K562	1.2278030241293665	0			cre4	0.4887163639068603
EH38E3202984	chr17	1649855	1650355	K562	1.2278030241293665	0			cre4	0.9075124859809875
EH38E3202985	chr17	1650326	1650826	K562	0.7639668528823641	0			cre4	0.8585798740386963
EH38E3202987	chr17	1650812	1651312	K562	0.8205343869245688	0			cre4	1.611004114151001
EH38E3202988	chr17	1651322	1651822	K562	0.8205343869245688	0			cre4	0.241847887635231
EH38E3202999	chr17	1669046	1669546	K562	1.6639807880483342	0			cre4	1.3290810585021973
EH38E1840203	chr17	1669463	1669963	K562	1.6639807880483342	0			cre4	2.4757440090179443
EH38E1840209	chr17	1683390	1683890	K562	0.156132133587153	0			cre4	-0.7836199998855591
EH38E1840210	chr17	1684004	1684504	K562	10.062196349988904	1			cre4	3.199777126312256
EH38E3203008	chr17	1684216	1684716	K562	15.043241061634497	1			cre4	4.306824684143066
EH38E3203009	chr17	1684707	1685207	K562	15.043241061634497	1			cre4	2.456554412841797
EH38E3203010	chr17	1685085	1685585	K562	12.551510108488914	1			cre4	2.737748861312866
